SAMPLENAME	index	index_type
M13U036_1m_2023817_CD16_InVivo_1m_CD222_sampled_AG_8963_68_S68_L001_R1_001.fastq	333	unique barcodes
M13U036_1m_2023817_CD33n_InVivo_NA_CD224_sampled_CD224_17_S103_L002_R1_001.fastq	156	unique barcodes
M13U036_1m_2023817_CD33p_InVivo_NA_CD224_sampled_CD224_16_S102_L002_R1_001.fastq	9425	unique barcodes
M13U036_1m_2023817_CD56p_InVivo_1m_CD222_sampled_AG_8963_63_S63_L001_R1_001.fastq	429	unique barcodes
M13U036_1m_2023817_DN_InVivo_1m_CD222_sampled_AG_8963_64_S64_L001_R1_001.fastq	754	unique barcodes
M13U036_1m_2023817_Mono_InVivo_1m_CD222_sampled_AG_8963_67_S67_L001_R1_001.fastq	6829	unique barcodes
M13U036_1m_2023817_NKG2p_InVivo_1m_CD222_sampled_AG_8963_62_S62_L001_R1_001.fastq	147	unique barcodes
M13U036_1m_2023817_PBGr_InVivo_NA_CD223_sampled_CD223_28_S28_L001_R1_001.fastq	8285	unique barcodes
M13U036_1m_2023817_T_InVivo_1m_CD222_sampled_AG_8963_66_S66_L001_R1_001.fastq	329	unique barcodes
M13U036_2hm_2023105_PBGr_inVivo_11wk_CD225_sampled_CD225_2_S2_L002_R1_001.fastq	1104	unique barcodes
M13U036_2hm_2023928_PBGr_inVivo_10wk_CD225_sampled_CD225_1_S1_L002_R1_001.fastq	1654	unique barcodes
M13U036_2m_2023914_B_InVivo_NA_CD224_sampled_CD224_13_S99_L002_R1_001.fastq	3397	unique barcodes
M13U036_2m_2023914_CD16p_InVivo_NA_CD224_sampled_CD224_15_S101_L002_R1_001.fastq	2698	unique barcodes
M13U036_2m_2023914_CD33n_InVivo_NA_CD224_sampled_CD224_19_S105_L002_R1_001.fastq	3496	unique barcodes
M13U036_2m_2023914_CD33p_InVivo_NA_CD224_sampled_CD224_18_S104_L002_R1_001.fastq	3566	unique barcodes
M13U036_2m_2023914_CD56p_InVivo_NA_CD224_sampled_CD224_23_S109_L002_R1_001.fastq	458	unique barcodes
M13U036_2m_2023914_DN_InVivo_NA_CD224_sampled_CD224_24_S110_L002_R1_001.fastq	1188	unique barcodes
M13U036_2m_2023914_Mono_InVivo_NA_CD224_sampled_CD224_14_S100_L002_R1_001.fastq	941	unique barcodes
M13U036_2m_2023914_NKG2A_InVivo_NA_CD224_sampled_CD224_22_S108_L002_R1_001.fastq	1411	unique barcodes
M13U036_2m_2023914_PBGr_InVivo_NA_CD224_sampled_CD224_11_S97_L002_R1_001.fastq	2488	unique barcodes
M13U036_2m_2023914_T_InVivo_NA_CD224_sampled_CD224_12_S98_L002_R1_001.fastq	995	unique barcodes
M13U036_2m_2023921_PBGr_InVivo_9wk_CD224_sampled_CD224_8_S94_L002_R1_001.fastq	1424	unique barcodes
M13U036_3hm_20231026_PBGr_inVivo_14wk_CD225_sampled_CD225_4_S4_L002_R1_001.fastq	685	unique barcodes
M13U036_3m_20231012_GFPnCD33int_inVivo_NA_CD225_sampled_CD225_18_S18_L002_R1_001.fastq	630	unique barcodes
M13U036_3m_20231012_GFPnCD33n_inVivo_NA_CD225_sampled_CD225_19_S19_L002_R1_001.fastq	1231	unique barcodes
M13U036_3m_20231012_GFPnCD33p_inVivo_NA_CD225_sampled_CD225_17_S17_L002_R1_001.fastq	465	unique barcodes
M13U036_3m_20231012_GFPpCD33int_inVivo_NA_CD225_sampled_CD225_15_S15_L002_R1_001.fastq	598	unique barcodes
M13U036_3m_20231012_GFPpCD33n_inVivo_NA_CD225_sampled_CD225_16_S16_L002_R1_001.fastq	116	unique barcodes
M13U036_3m_20231012_GFPpCD33p_inVivo_NA_CD225_sampled_CD225_14_S14_L002_R1_001.fastq	982	unique barcodes
M13U036_3m_20231012_PBGr_inVivo_12wk_CD225_sampled_CD225_3_S3_L002_R1_001.fastq	978	unique barcodes
M13U036_4hm_20231120_PBGr_inVivo_18wk_CD225_sampled_CD225_6_S6_L002_R1_001.fastq	1933	unique barcodes
M13U036_4m_20231113_GFPnCD33int_inVivo_NA_CD225_sampled_CD225_24_S24_L002_R1_001.fastq	676	unique barcodes
M13U036_4m_20231113_GFPnCD33n_inVivo_NA_CD225_sampled_CD225_25_S25_L002_R1_001.fastq	1377	unique barcodes
M13U036_4m_20231113_GFPnCD33p_inVivo_NA_CD225_sampled_CD225_23_S23_L002_R1_001.fastq	1133	unique barcodes
M13U036_4m_20231113_GFPpCD33int_inVivo_NA_CD225_sampled_CD225_21_S21_L002_R1_001.fastq	673	unique barcodes
